-0.025356,0.75263
0.090299,-1.1851
0.14214,-0.71974
1.7258,2.6245
-0.37288,2.3347
0.075726,0.45626
0.026382,-0.54572
0.51489,-1.022
0.36542,-0.83946
0.96872,-1.1873
-0.23621,-0.32488
0.1657,0.42546
-0.047464,-0.9768
-0.074421,-0.92601
-0.30623,2.5245
-0.22507,2.5842
0.73966,-1.0377
1.1748,-1.0378
-0.1226,-1.5751
-0.099876,-1.0067
-1.2966,2.5295
1.2805,-0.93068
0.057886,0.27263
-0.045521,-0.12685
0.0084352,2.7114
-0.16931,-1.4377
0.064028,-1.0573
0.067594,0.95814
-0.033518,-0.52247
-1.3544,2.5724
0.27252,-0.10074
1.2503,-1.0938
1.8807,-1.1696
-0.033591,2.547
-0.36283,-1.0119
0.1433,0.05246
1.5839,2.3452
0.088458,-1.0545
0.0014833,0.22581
1.3013,-0.95705
-0.091917,-0.15759
0.98599,-0.97683
-0.24384,2.3414
0.88449,2.4734
0.065123,-0.85945
-0.041295,0.33704
-0.17447,-0.32127
-0.065639,-1.0026
0.05312,0.45935
1.3911,-0.96899
-0.11379,-0.73492
-0.91739,-0.82685
0.073247,0.67698
-0.42661,2.4336
-0.63382,2.7485
0.58089,2.5899
-0.13468,-0.24525
1.9567,-1.0471
0.75067,-0.54283
1.4511,2.5912
0.49016,-1.3084
0.35498,2.4649
-0.70434,2.7532
-0.0093632,2.7508
0.43668,2.4463
0.37194,2.3893
1.9286,2.8479
0.071819,1.5701
-0.53946,2.6317
-0.003881,-0.87144
-0.063299,0.047292
-0.17829,0.42276
0.13873,-1.244
2.089,-0.95197
0.23921,-0.95268
1.7038,-1.2593
-0.2974,-0.87819
-0.16357,0.24296
0.89588,2.2691
-0.2285,2.4836
0.87809,2.5025
0.063366,0.44737
0.10003,-0.10609
-0.34219,2.3893
0.28008,-0.92834
-0.033327,1.342
-0.09465,2.4043
0.23869,1.1812
-0.31152,-1.3153
0.72457,-1.0512
1.5287,2.4573
0.87933,-0.94927
1.1731,2.3664
-0.22451,2.3755
1.1405,-1.0358
-0.095782,2.5166
-0.13562,2.6714
0.35142,2.5749
-0.052016,0.25006
